Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,102.5,-115.5,0.0,bottom
C10,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,98.0,-99.5,0.0,bottom
C11,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,98.0,-97.5,0.0,bottom
C2,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,102.5,-113.5,0.0,bottom
C3,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.9,-104.378125,0.0,bottom
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,93.0,-112.5,180.0,bottom
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,89.0,-121.0,270.0,bottom
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,80.16875,-117.078125,0.0,bottom
C7,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,80.16875,-111.125,0.0,bottom
C8,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.67235,-105.95895,90.0,bottom
C9,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,192.484375,-94.45625,270.0,bottom
D1,D_Small,D_SOD-123,95.25,-84.1375,90.0,bottom
D10,D_Small,D_SOD-123,252.4125,-91.2755,90.0,bottom
D11,D_Small,D_SOD-123,271.4454,-91.2755,90.0,bottom
D12,D_Small,D_SOD-123,290.4942,-91.2755,90.0,bottom
D13,D_Small,D_SOD-123,309.5625,-91.2755,90.0,bottom
D14,D_Small,D_SOD-123,328.6125,-91.28125,90.0,bottom
D15,D_Small,D_SOD-123,331.7875,-91.28125,90.0,bottom
D16,D_Small,D_SOD-123,69.8456,-110.3243,90.0,bottom
D17,D_Small,D_SOD-123,109.5306,-110.3243,90.0,bottom
D18,D_Small,D_SOD-123,128.5875,-110.3243,90.0,bottom
D19,D_Small,D_SOD-123,147.6375,-110.3243,90.0,bottom
D2,D_Small,D_SOD-123,98.425,-84.1375,90.0,bottom
D20,D_Small,D_SOD-123,150.803,-110.3243,90.0,bottom
D21,D_Small,D_SOD-123,166.677,-110.3243,90.0,bottom
D24,D_Small,D_SOD-123,217.4875,-110.33125,90.0,bottom
D25,D_Small,D_SOD-123,242.8875,-110.33125,90.0,bottom
D26,D_Small,D_SOD-123,261.921,-110.3243,90.0,bottom
D27,D_Small,D_SOD-123,280.9875,-110.3243,90.0,bottom
D28,D_Small,D_SOD-123,300.0186,-110.3243,90.0,bottom
D29,D_Small,D_SOD-123,319.0875,-110.3243,90.0,bottom
D3,D_Small,D_SOD-123,119.055,-91.2755,90.0,bottom
D30,D_Small,D_SOD-123,342.9,-110.3243,90.0,bottom
D31,D_Small,D_SOD-123,104.775,-129.3731,90.0,bottom
D32,D_Small,D_SOD-123,107.95,-129.3731,90.0,bottom
D33,D_Small,D_SOD-123,123.825,-129.3731,90.0,bottom
D34,D_Small,D_SOD-123,142.875,-129.3731,90.0,bottom
D35,D_Small,D_SOD-123,161.925,-129.3731,90.0,bottom
D36,D_Small,D_SOD-123,165.0896,-129.3731,90.0,bottom
D37,D_Small,D_SOD-123,180.9636,-129.3731,90.0,bottom
D39,D_Small,D_SOD-123,230.1875,-129.38125,90.0,bottom
D4,D_Small,D_SOD-123,138.1038,-91.2755,90.0,bottom
D40,D_Small,D_SOD-123,247.65,-129.3731,90.0,bottom
D41,D_Small,D_SOD-123,266.6832,-129.3731,90.0,bottom
D42,D_Small,D_SOD-123,285.75,-129.3731,90.0,bottom
D43,D_Small,D_SOD-123,304.8,-129.3731,90.0,bottom
D44,D_Small,D_SOD-123,323.8296,-129.3731,90.0,bottom
D45,D_Small,D_SOD-123,327.0044,-129.3731,90.0,bottom
D46,D_Small,D_SOD-123,80.9574,-148.4219,90.0,bottom
D47,D_Small,D_SOD-123,100.0062,-148.4219,90.0,bottom
D48,D_Small,D_SOD-123,119.0625,-148.4219,90.0,bottom
D49,D_Small,D_SOD-123,138.1038,-148.4219,90.0,bottom
D5,D_Small,D_SOD-123,157.1526,-91.2755,90.0,bottom
D50,D_Small,D_SOD-123,157.1526,-148.4219,90.0,bottom
D51,D_Small,D_SOD-123,176.2125,-148.43125,90.0,bottom
D52,D_Small,D_SOD-123,195.2625,-148.43125,90.0,bottom
D53,D_Small,D_SOD-123,214.3125,-148.4219,90.0,bottom
D54,D_Small,D_SOD-123,217.4875,-148.4219,90.0,bottom
D55,D_Small,D_SOD-123,252.3966,-148.4219,90.0,bottom
D56,D_Small,D_SOD-123,271.4625,-148.4219,90.0,bottom
D57,D_Small,D_SOD-123,290.4942,-148.4219,90.0,bottom
D58,D_Small,D_SOD-123,309.5625,-148.4219,90.0,bottom
D59,D_Small,D_SOD-123,328.6125,-148.43125,90.0,bottom
D6,D_Small,D_SOD-123,176.2014,-91.2755,90.0,bottom
